month,isin,holders,mean_weight_among_holders,mean_weight_all_funds,market_value_crore,matched_fund_holder_change,matched_fund_mean_weight_change,matched_funds
2023-08,INE238A01034,110,0.03204575934545455,0.017803199636363634,34359.2609283,,,0
2023-08,INE239A01016,38,0.02544046244736842,0.004882512994949495,4788.46428988,,,0
2023-08,INE239C01020,1,0.010904862,5.5075060606060606e-05,49.1824,,,0
2023-08,INE242A01010,14,0.0123107655,0.0008704581666666666,1023.430698,,,0
2023-08,INE244O01017,3,0.0011079269999999999,1.6786772727272724e-05,45.0834,,,0
2023-08,INE245A01021,12,0.008758333333333333,0.0005308080808080808,979.991481,,,0
2023-08,INE246B01019,2,0.0007,7.0707070707070704e-06,58.3486,,,0
2023-08,INE246F01010,25,0.011850195440000003,0.0014962367979797983,2409.08091461,,,0
2023-08,INE249Z01012,2,0.036554267,0.0003692350202020202,65.8953,,,0
2023-08,INE255A01020,8,0.00944144925,0.00038147269696969696,606.936214,,,0
2023-08,INE255D01024,1,0.003609578,1.823019191919192e-05,16.9548,,,0
2023-08,INE256A01028,42,0.011081549166666668,0.0023506316414141416,4700.46774,,,0
2023-08,INE256C01024,4,0.011575,0.00023383838383838384,433.834,,,0
2023-08,INE257A01026,14,0.012828522285714286,0.0009070672323232324,1008.305,,,0
2023-08,INE258A01016,10,0.015548383700000001,0.0007852719040404041,1498.4377,,,0
2023-08,INE258B01022,7,0.013004684571428574,0.00045976157575757583,449.4681,,,0
2023-08,INE258G01013,9,0.008056880222222222,0.0003662218282828283,324.636785,,,0
2023-08,INE259A01022,10,0.0121877454,0.000615542696969697,383.623653,,,0
2023-08,INE260B01028,2,0.0048165594999999995,4.8652116161616155e-05,16.1318,,,0
2023-08,INE262H01013,36,0.015214672888888888,0.0027663041616161617,6437.694148,,,0
2023-08,INE263A01024,64,0.01811881034375,0.0058565851616161615,8712.619784260001,,,0
2023-08,INE263M01029,1,0.004983633,2.516986363636364e-05,22.4769,,,0
2023-08,INE265F01028,1,0.001048211,5.29399494949495e-06,23.7221,,,0
2023-08,INE267A01025,1,0.0243,0.00012272727272727272,17.4439,,,0
2023-08,INE269A01021,9,0.010946300999999999,0.0004975591363636364,1276.897815,,,0
2023-08,INE269B01029,2,0.0025,2.5252525252525253e-05,278.4568,,,0
2023-08,INE271C01023,23,0.009333288652173914,0.0010841698939393941,2663.367339,,,0
2023-08,INE274C01019,1,0.0108,5.4545454545454546e-05,157.9622,,,0
2023-08,INE274F01020,15,0.012074263733333333,0.0009147169494949495,1743.34137603,,,0
2023-08,INE274J01014,13,0.011815107538461541,0.0007757393838383839,636.9189,,,0
2023-08,INE275B01026,1,0.0007,3.5353535353535352e-06,1.8393,,,0
2023-08,INE276A01018,5,0.01618,0.0004085858585858586,420.811,,,0
2023-08,INE277A01016,2,0.008199999999999999,8.282828282828282e-05,199.5798,,,0
2023-08,INE278H01035,6,0.005155291333333333,0.00015622094949494948,306.817,,,0
2023-08,INE278Y01022,10,0.0058730509,0.00029661873232323234,220.4922,,,0
2023-08,INE279A01012,2,0.0007343524999999999,7.417702020202019e-06,2.3115,,,0
2023-08,INE280A01028,40,0.015776943275,0.0031872612676767677,4990.469614255,,,0
2023-08,INE280B01018,1,0.012,6.0606060606060605e-05,438.8453,,,0
2023-08,INE284A01012,6,0.016416666666666666,0.0004974747474747474,943.6968,,,0
2023-08,INE284S01014,7,0.00950053957142857,0.00033587766161616154,363.507017,,,0
2023-08,INE285A01027,1,0.0235,0.00011868686868686869,490.65,,,0
